"file_name","working_paper_id","title","is_final_report_draft","is_substantive","justification"
"ATCM12_wp020_e_first_two_pages.txt","ANT/XII/20","Item Relating to a Greater Participation in S.C.A.R. by the Non-Consultative Contracting Parties of the Antarctic Treaty","False","True","This working paper recommends actions to increase participation of non-consultative parties in SCAR, which is substantive."
"ATCM12_wp021_e_first_two_pages.txt","ANT/XII/21","Item 12: Matters Relating to the Appointment of Observers at Consultative Meetings - Draft Recommendation","False","True","This Working Paper contains a substantive draft Recommendation related to inviting observers to Consultative Meetings."
"ATCM12_wp022_e_first_two_pages.txt","ANT/XII/22","Draft Recommendation on the Collection and Distribution of Antarctic Meteorological Data","False","True","This Working Paper contains a draft Recommendation on collecting and distributing Antarctic meteorological data, which is a substantive topic."
"ATCM12_wp023_e_first_two_pages.txt","ANT/XII/23","Draft Recommendation on Antarctic Telecommunications","False","True","This Working Paper contains a draft Recommendation on improving Antarctic telecommunications, which is a substantive topic."
"ATCM12_wp024_rev1_e_first_two_pages.txt","ANT/XII/24/REV1","Final Report of the Twelfth Antarctic Treaty Consultative Meeting","True","False","This is the final report of the meeting, which summarizes the proceedings but does not contain substantive recommendations or measures."
"ATCM12_wp024_rev2_e_first_two_pages.txt","ANT/XII/24/REV2","Final Report of the Twelfth Antarctic Treaty Consultative Meeting","True","False","This is the final report of the meeting, which summarizes the proceedings but does not contain substantive recommendations or outcomes."
"ATCM12_wp025_e_first_two_pages.txt","ANT/XII/25","Draft Recommendation on Man's Impact on the Antarctic Environment (Code of Conduct)","False","True","This Working Paper contains a draft Recommendation on managing human impacts on the Antarctic environment, which is a substantive topic."
"ATCM12_wp026_e_first_two_pages.txt","ANT/XII/26","Draft Recommendation on Operation of the Antarctic Treaty System","False","True","This Working Paper contains a draft Recommendation on the operation of the Antarctic Treaty System, which is a substantive topic."
"ATCM12_wp027_rev1_e_first_two_pages.txt","ANT/XII/27/REV1","Message from the Twelfth Consultative Meeting to Stations in Antarctica","False","False","This Working Paper contains a greeting message to Antarctic stations and does not contain substantive content contributing to meeting outcomes."
"ATCM12_wp028_rev1_e_first_two_pages.txt","ANT/XII/28/REV1","Draft Recommendation: SCAR Assistance to Consultative Parties","False","True","This Working Paper contains a substantive draft Recommendation regarding SCAR providing assistance to the Antarctic Treaty Consultative Parties."
